书名,作者,价格,出版社
一看就停不下来的中国史(京东定制版),最爱君,35.88,台海出版社
格局 思路决定出路 格局决定结局 为人处世人际交往说话沟通技巧管理狼性社交职场创业经商生意谈判成功励,,3.8,百花洲文艺出版社
3-6岁行为习惯养成绘本：我会爱自己（情绪管理篇 套装共6册）学会自我保护，懂得自我管理,苏珊·阿本哈德,96.0,青岛出版社
美国国家地理儿童小百科 中英文双语读物（套装共6册）,吉尔·伊斯巴姆,95.0,四川少年儿童出版社
平凡的世界：全三册,路遥,108.0,北京十月文艺出版社
一看就停不下来的中国史1+2+世界史（套装全3册）,最爱君,107.64,台海出版社、四川人民出版社
DK博物大百科——自然界的视觉盛宴,英国DK公司,420.0,科学普及出版社
正版12册 鬼谷子全集九型人格墨菲定律人性的弱点方与圆狼道羊皮卷无口才三绝为人三会修心三不厚黑学书籍,,69.8,
余生很长，别慌张，别失望,史铁生,25.2,北方文艺出版社
东野圭吾写给孩子的推理书：为孩子量身打造的智力之书（套装共3册）,东野圭吾,118.3,南海出版公司
余华作品：活着,余华,28.0,作家出版社
思维导图 记忆力训练法 教你简单快速有效的提升记忆快速提高左右脑思维和技巧 可搭配最强大脑书籍,鸿雁,3.8,吉林文史出版社
局外人(如果你在人群中感到格格不入，一定要读《局外人》 ！精装插图珍藏版！诺奖作品，此生必读)(读客经典文库),加缪,42.8,江苏凤凰文艺
人间失格,太宰治,21.9,武汉出版社
东野圭吾：白夜行（2017版）,东野圭吾,59.6,南海出版公司
马尔克斯：百年孤独（50周年纪念版）,加西亚·马尔克斯,55.0,南海出版公司
人生海海（麦家重磅新作！莫言、董卿、王家卫、高晓松、杨洋倾力推荐）,麦家,55.0,北京十月文艺出版社
浮生六记（畅销300万册，全译本，蝉联京东,沈复,31.4,天津人民出版社
人生,路遥,25.0,北京十月文艺出版社
和朋友们一起想办法（学习解决问题的图画书套装全8册）, 加比·戈尔德萨克,64.8,长江少年儿童出版社
这里是中国,星球研究所、中国青藏高原研究会,126.0,中信出版集团
深度思考：不断逼近问题的本质,莫琳.希凯,47.5,江苏凤凰文艺出版社
迪士尼爱与梦想绘本（套装共15册）,美国迪士尼公司,136.4,四川少年儿童出版社
学前儿童生理启蒙必备：我们的身体（3-6岁）,帕斯卡尔·艾德兰,120.0,未来出版社
3-6岁经典逻辑力培养图画书（套装全13册） [3-6岁],舟崎靖子,180.0,长江少年儿童出版社
一看就停不下来的中国史(京东定制版),最爱君,35.88,台海出版社
格局 思路决定出路 格局决定结局 为人处世人际交往说话沟通技巧管理狼性社交职场创业经商生意谈判成功励,,3.8,百花洲文艺出版社
3-6岁行为习惯养成绘本：我会爱自己（情绪管理篇 套装共6册）学会自我保护，懂得自我管理,苏珊·阿本哈德,96.0,青岛出版社
美国国家地理儿童小百科 中英文双语读物（套装共6册）,吉尔·伊斯巴姆,95.0,四川少年儿童出版社
平凡的世界：全三册,路遥,108.0,北京十月文艺出版社
一看就停不下来的中国史1+2+世界史（套装全3册）,最爱君,107.64,台海出版社、四川人民出版社
DK博物大百科——自然界的视觉盛宴,英国DK公司,420.0,科学普及出版社
正版12册 鬼谷子全集九型人格墨菲定律人性的弱点方与圆狼道羊皮卷无口才三绝为人三会修心三不厚黑学书籍,,69.8,
余生很长，别慌张，别失望,史铁生,25.2,北方文艺出版社
东野圭吾写给孩子的推理书：为孩子量身打造的智力之书（套装共3册）,东野圭吾,118.3,南海出版公司
余华作品：活着,余华,28.0,作家出版社
思维导图 记忆力训练法 教你简单快速有效的提升记忆快速提高左右脑思维和技巧 可搭配最强大脑书籍,鸿雁,3.8,吉林文史出版社
局外人(如果你在人群中感到格格不入，一定要读《局外人》 ！精装插图珍藏版！诺奖作品，此生必读)(读客经典文库),加缪,42.8,江苏凤凰文艺
人间失格,太宰治,21.9,武汉出版社
东野圭吾：白夜行（2017版）,东野圭吾,59.6,南海出版公司
马尔克斯：百年孤独（50周年纪念版）,加西亚·马尔克斯,55.0,南海出版公司
人生海海（麦家重磅新作！莫言、董卿、王家卫、高晓松、杨洋倾力推荐）,麦家,55.0,北京十月文艺出版社
浮生六记（畅销300万册，全译本，蝉联京东,沈复,31.4,天津人民出版社
人生,路遥,25.0,北京十月文艺出版社
和朋友们一起想办法（学习解决问题的图画书套装全8册）, 加比·戈尔德萨克,64.8,长江少年儿童出版社
抖音推荐12册鬼谷子全集正版墨菲定律狼道羊皮卷人性的弱点读心术九型人格心理学自控力无厚黑学励志,鬼谷子,69.8,中国商业出版社
这里是中国,星球研究所、中国青藏高原研究会,126.0,中信出版集团
深度思考：不断逼近问题的本质,莫琳.希凯,47.5,江苏凤凰文艺出版社
迪士尼爱与梦想绘本（套装共15册）,美国迪士尼公司,136.4,四川少年儿童出版社
学前儿童生理启蒙必备：我们的身体（3-6岁）,帕斯卡尔·艾德兰,120.0,未来出版社
漫长的告别（怪不得村上春树读了12遍！每每陷入困境，村上春树便打开《漫长的告别》！全新精装插图珍藏版）,雷蒙德·钱德勒,65.6,海南出版社
DK儿童自然探索百科,杰米·安布罗斯,83.6,童趣出版有限公司
亲亲科学,史黛芬妮·勒迪 等,425.3,安徽教育出版社
在教室说错了没关系系列（套装共2册）,莳田晋治,63.0,青岛出版社
明代的锦衣卫和东西厂,吴晗,23.88,台海出版社
揭秘古诗词/二十四节气/丝绸之路/汉字（3-6岁少儿科普翻翻书套装共4册）揭秘系列好玩又好学 乐乐趣童书出品,,199.0,
一看就停不下来的北洋军阀史：奉系+皖系+直系（套装全三册）,胡杨,75.6,辽宁人民出版社
【彩图注音版】十万个为什么（套装共10册）动物世界 少儿科普百科,,1.0,
墨菲定律 思维解码人性的弱点 心理学情商职场商场管理创业 九型人格 社交人脉交际口才沟通书籍,,3.8,成都地图出版社
国际大奖小说注音版（给孩子独立阅读的童年 礼盒装共20册）,洛特·金仕可菲,250.0,新蕾出版社
窗边的小豆豆（2018版） （爱心树童书）五年级推荐课外阅读书,黑柳彻子,39.5,南海出版公司
小猛犸童书：DK百科全书精选礼盒装 （京东套装共4册）,英国DK公司,400.0,电子工业出版社
中华上下五千年：彩色插图版（套装全四册）,谢桂梅,94.8,吉林美术出版社
米小圈上学记一年级（套装共4册）小学生课外阅读书籍注音版,北猫,99.0,四川少年儿童出版社
100层的房子系列（新版4册套装）,岩井俊雄,154.4,北京科学技术出版社
凯迪克金奖绘本系列：火车头+灯船+登月（陆海空三部曲 套装全3册）,〔美〕布莱恩·弗洛卡,99.0,天津人民出版社
一看就停不下来的中国史2（京东定制版）,最爱君,35.88,台海出版社
哈佛中国史 精装（礼盒套装共6册）,卜正民,306.0,中信出版集团
基督山伯爵（余华不吃不喝不睡，疯了般读完《基督山伯爵》！人类全部的智慧尽在其中！全三册一字未删完整版！）（读客经典文库）,大仲马,159.6,江苏凤凰文艺出版社
哇！故宫的二十四节气（给孩子的故宫绘本 套装全24册）,故宫博物院宣传教育部,320.0,中信出版集团
自我保护意识绘本：呀！屁股,迈普里斯·安徒生,36.1,江苏凤凰少年儿童出版社
一看就停不下来的中国史+大秦史+大汉史+大唐史+大清史（套装全5册）,最爱君,149.28,台海出版社
故宫御猫夜游记（五册）黄渤林俊杰方文山朱永新王志庚等人倾情推荐,常怡,148.8,人民邮电出版社
故宫日历·2020年（紫禁600年）,陈丽华,49.0,故宫出版社
全7册 人间失格+月亮与六便士+瓦尔登湖+局外人+我是猫+假如给我三天光明世界名著文学小说书籍,,42.8,黑龙江美术出版社
DK儿童百科全书（精致版）,英国DK出版社,60.0,四川少年儿童出版社
漫长的告别（怪不得村上春树读了12遍！每每陷入困境，村上春树便打开《漫长的告别》！全新精装插图珍藏版）,雷蒙德·钱德勒,65.6,海南出版社
DK儿童自然探索百科,杰米·安布罗斯,83.6,童趣出版有限公司
亲亲科学,史黛芬妮·勒迪 等,425.3,安徽教育出版社
在教室说错了没关系系列（套装共2册）,莳田晋治,63.0,青岛出版社
明代的锦衣卫和东西厂,吴晗,23.88,台海出版社
揭秘古诗词/二十四节气/丝绸之路/汉字（3-6岁少儿科普翻翻书套装共4册）揭秘系列好玩又好学 乐乐趣童书出品,,199.0,
一看就停不下来的北洋军阀史：奉系+皖系+直系（套装全三册）,胡杨,75.6,辽宁人民出版社
【彩图注音版】十万个为什么（套装共10册）动物世界 少儿科普百科,,1.0,
墨菲定律 思维解码人性的弱点 心理学情商职场商场管理创业 九型人格 社交人脉交际口才沟通书籍,,3.8,成都地图出版社
国际大奖小说注音版（给孩子独立阅读的童年 礼盒装共20册）,洛特·金仕可菲,250.0,新蕾出版社
窗边的小豆豆（2018版） （爱心树童书）五年级推荐课外阅读书,黑柳彻子,39.5,南海出版公司
小猛犸童书：DK百科全书精选礼盒装 （京东套装共4册）,英国DK公司,400.0,电子工业出版社
中华上下五千年：彩色插图版（套装全四册）,谢桂梅,94.8,吉林美术出版社
米小圈上学记一年级（套装共4册）小学生课外阅读书籍注音版,北猫,99.0,四川少年儿童出版社
100层的房子系列（新版4册套装）,岩井俊雄,154.4,北京科学技术出版社
凯迪克金奖绘本系列：火车头+灯船+登月（陆海空三部曲 套装全3册）,〔美〕布莱恩·弗洛卡,99.0,天津人民出版社
一看就停不下来的中国史2（京东定制版）,最爱君,35.88,台海出版社
哈佛中国史 精装（礼盒套装共6册）,卜正民,306.0,中信出版集团
